day,countryCode,countryName,region,lat,lon,confirmed,cured,death
2020/01/22,AU,Australia,Oceania,-27,133,0,0,0
2020/01/23,AU,Australia,Oceania,-27,133,0,0,0
2020/01/24,AU,Australia,Oceania,-27,133,0,0,0
2020/01/25,AU,Australia,Oceania,-27,133,0,0,0
2020/01/26,AU,Australia,Oceania,-27,133,4,0,0
2020/01/27,AU,Australia,Oceania,-27,133,5,0,0
2020/01/28,AU,Australia,Oceania,-27,133,5,0,0
2020/01/29,AU,Australia,Oceania,-27,133,6,0,0
2020/01/30,AU,Australia,Oceania,-27,133,9,0,2
2020/01/31,AU,Australia,Oceania,-27,133,9,0,2
2020/02/01,AU,Australia,Oceania,-27,133,12,0,2
2020/02/02,AU,Australia,Oceania,-27,133,12,0,2
2020/02/03,AU,Australia,Oceania,-27,133,12,0,2
2020/02/04,AU,Australia,Oceania,-27,133,13,0,2
2020/02/05,AU,Australia,Oceania,-27,133,13,0,2
2020/02/06,AU,Australia,Oceania,-27,133,14,0,2
2020/02/07,AU,Australia,Oceania,-27,133,15,0,2
2020/02/08,AU,Australia,Oceania,-27,133,15,0,2
2020/02/09,AU,Australia,Oceania,-27,133,15,0,2
2020/02/10,AU,Australia,Oceania,-27,133,15,0,2
2020/02/11,AU,Australia,Oceania,-27,133,15,0,2
2020/02/12,AU,Australia,Oceania,-27,133,15,0,2
2020/02/13,AU,Australia,Oceania,-27,133,15,0,8
2020/02/14,AU,Australia,Oceania,-27,133,15,0,8
2020/02/15,AU,Australia,Oceania,-27,133,15,0,8
2020/02/16,AU,Australia,Oceania,-27,133,15,0,8
2020/02/17,AU,Australia,Oceania,-27,133,15,0,10
2020/02/18,AU,Australia,Oceania,-27,133,15,0,10
2020/02/19,AU,Australia,Oceania,-27,133,15,0,10
2020/02/20,AU,Australia,Oceania,-27,133,15,0,10
2020/02/21,AU,Australia,Oceania,-27,133,19,0,11
2020/02/22,AU,Australia,Oceania,-27,133,22,0,11
2020/02/23,AU,Australia,Oceania,-27,133,22,0,11
2020/02/24,AU,Australia,Oceania,-27,133,22,0,11
2020/02/25,AU,Australia,Oceania,-27,133,22,0,11
2020/02/26,AU,Australia,Oceania,-27,133,22,0,11
2020/02/27,AU,Australia,Oceania,-27,133,23,0,11
2020/02/28,AU,Australia,Oceania,-27,133,23,0,11
2020/02/29,AU,Australia,Oceania,-27,133,25,0,11
2020/03/01,AU,Australia,Oceania,-27,133,27,1,11
2020/03/02,AU,Australia,Oceania,-27,133,30,1,11
2020/03/03,AU,Australia,Oceania,-27,133,39,1,11
2020/03/04,AU,Australia,Oceania,-27,133,52,2,11
2020/03/05,AU,Australia,Oceania,-27,133,55,2,21
2020/03/06,AU,Australia,Oceania,-27,133,60,2,21
2020/03/07,AU,Australia,Oceania,-27,133,63,2,21
2020/03/08,AU,Australia,Oceania,-27,133,76,3,21
2020/03/09,AU,Australia,Oceania,-27,133,91,3,21
2020/03/10,AU,Australia,Oceania,-27,133,107,3,21
2020/03/11,AU,Australia,Oceania,-27,133,128,3,21
2020/03/12,AU,Australia,Oceania,-27,133,128,3,21
2020/03/13,AU,Australia,Oceania,-27,133,200,3,23
2020/03/14,AU,Australia,Oceania,-27,133,250,3,23
2020/03/15,AU,Australia,Oceania,-27,133,297,3,23
2020/03/16,AU,Australia,Oceania,-27,133,377,3,23
2020/03/17,AU,Australia,Oceania,-27,133,452,5,23
2020/03/18,AU,Australia,Oceania,-27,133,568,6,23
2020/03/19,AU,Australia,Oceania,-27,133,681,6,26
2020/03/20,AU,Australia,Oceania,-27,133,791,7,26
2020/03/21,AU,Australia,Oceania,-27,133,1071,7,26
2020/03/22,AU,Australia,Oceania,-27,133,1314,7,88
2020/03/23,AU,Australia,Oceania,-27,133,1887,7,118
